"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Dec 23 03:48:04 GMT 2023","Sat Dec 23 03:48:04 GMT 2023","144","Accounts and settings","Corporate","","","","Delete a sub-account",""
"passed","Sat Dec 23 03:48:03 GMT 2023","Sat Dec 23 03:48:03 GMT 2023","142","Accounts and settings","Reseller","Child accounts","","","Creates a reseller child",""
"failed","Sat Dec 23 03:47:51 GMT 2023","Sat Dec 23 03:47:51 GMT 2023","160","Marketing","Email Campaigns","","","","Send an email campaign immediately, based on campaignId",""
"failed","Sat Dec 23 03:47:50 GMT 2023","Sat Dec 23 03:47:50 GMT 2023","171","Transactional","SMS statistics","","","","Get your SMS activity aggregated per day",""
"passed","Sat Dec 23 03:48:08 GMT 2023","Sat Dec 23 03:48:08 GMT 2023","151","Sales CRM","Deals","","","","Link and Unlink a deal with contacts and companies",""
"failed","Sat Dec 23 03:47:54 GMT 2023","Sat Dec 23 03:47:54 GMT 2023","146","Marketing","SMS Campaigns","","","","Send an SMS campaign's report",""
"passed","Sat Dec 23 03:47:57 GMT 2023","Sat Dec 23 03:47:57 GMT 2023","168","Contact management","Folders","","","","Get lists in a folder",""
"failed","Sat Dec 23 03:47:47 GMT 2023","Sat Dec 23 03:47:47 GMT 2023","193","Transactional","Statistics","","","","Get your transactional email activity aggregated over a period of time",""
"failed","Sat Dec 23 03:48:05 GMT 2023","Sat Dec 23 03:48:05 GMT 2023","161","Accounts and settings","Senders","","","","Create a new sender",""
"failed","Sat Dec 23 03:47:58 GMT 2023","Sat Dec 23 03:47:58 GMT 2023","143","Contact management","Lists","","","","Create a list",""
"passed","Sat Dec 23 03:48:10 GMT 2023","Sat Dec 23 03:48:10 GMT 2023","152","Sales CRM","Files","","","","Upload a file",""
"passed","Sat Dec 23 03:48:00 GMT 2023","Sat Dec 23 03:48:00 GMT 2023","137","Accounts and settings","Webhooks","","","","Delete a webhook",""
"passed","Sat Dec 23 03:48:05 GMT 2023","Sat Dec 23 03:48:05 GMT 2023","165","Accounts and settings","Domains","","","","Get the list of all your domains",""
"passed","Sat Dec 23 03:48:06 GMT 2023","Sat Dec 23 03:48:06 GMT 2023","141","Accounts and settings","Domains","","","","Delete a domain",""
"passed","Sat Dec 23 03:48:01 GMT 2023","Sat Dec 23 03:48:01 GMT 2023","139","Accounts and settings","Reseller","Domains","","","Update the sender domain of reseller's child based on the childIdentifier and domainName passed",""
"passed","Sat Dec 23 03:48:04 GMT 2023","Sat Dec 23 03:48:04 GMT 2023","152","Accounts and settings","Account data","","","","Get your account information, plan and credits details",""
"passed","Sat Dec 23 03:48:07 GMT 2023","Sat Dec 23 03:48:07 GMT 2023","169","Sales CRM","Deals","","","","Get all deals",""
"passed","Sat Dec 23 03:48:03 GMT 2023","Sat Dec 23 03:48:03 GMT 2023","157","Accounts and settings","Corporate","","","","Get the list of all the sub-accounts of the master account.",""
"passed","Sat Dec 23 03:48:10 GMT 2023","Sat Dec 23 03:48:10 GMT 2023","134","Sales CRM","Notes","","","","Delete a note",""
"failed","Sat Dec 23 03:47:51 GMT 2023","Sat Dec 23 03:47:51 GMT 2023","153","Marketing","Email Campaigns","","","","Update an email campaign",""
"failed","Sat Dec 23 03:48:09 GMT 2023","Sat Dec 23 03:48:10 GMT 2023","161","Sales CRM","Notes","","","","Create a note",""
"passed","Sat Dec 23 03:48:04 GMT 2023","Sat Dec 23 03:48:04 GMT 2023","146","Accounts and settings","Corporate","","","","Update sub-account plan",""
"failed","Sat Dec 23 03:48:13 GMT 2023","Sat Dec 23 03:48:14 GMT 2023","145","eCommerce","Products","","","","Create/update a product",""
"passed","Sat Dec 23 03:48:05 GMT 2023","Sat Dec 23 03:48:05 GMT 2023","143","Accounts and settings","Senders","","","","Get all the dedicated IPs for your account",""
"passed","Sat Dec 23 03:48:04 GMT 2023","Sat Dec 23 03:48:04 GMT 2023","158","Accounts and settings","Senders","","","","Get the list of all your senders",""
"passed","Sat Dec 23 03:48:12 GMT 2023","Sat Dec 23 03:48:12 GMT 2023","148","Conversations","Pushed messages","","","","Update an automated message",""
"passed","Sat Dec 23 03:47:52 GMT 2023","Sat Dec 23 03:47:52 GMT 2023","197","Marketing","Email Campaigns","","","","Get a shared template url",""
